"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1229062815.188,20.773,17.427,3.35e-21,3609.992,2.500,7210.069824,0.000,0.000,0.994,"7VVKpF0d2U","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/7VVKpF0d2U.png"
1229064111.625,33.435,104.886,1.81e-21,3977.720,27.102,7945.525879,0.000,0.000,0.994,"OFpjVFtuQC","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/OFpjVFtuQC.png"
1228994268.813,21.913,18.803,1.17e-21,3982.484,2.313,7935.997070,0.000,0.000,0.994,"AxJf99ybNE","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/AxJf99ybNE.png"
1228982743.313,21.146,17.202,1.63e-21,3982.484,3.534,7935.997070,0.000,0.000,0.993,"Y0j8CsP4AW","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Y0j8CsP4AW.png"
1229053449.063,20.046,13.352,2.50e-21,3977.241,4.206,7946.482910,0.000,0.000,0.993,"sCGYQarfi3","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/sCGYQarfi3.png"
1228994088.781,24.114,27.247,9.64e-22,3980.390,7.725,7940.185059,0.000,0.000,0.992,"TQb5h0TZ7s","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/TQb5h0TZ7s.png"
1229067841.625,10.372,14.254,8.07e-19,3979.047,6.722,7942.870605,0.000,0.000,0.992,"KXgd2feakM","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/KXgd2feakM.png"
1228992870.563,21.913,13.020,1.21e-21,26.055,2.000,16.209480,0.000,0.000,0.992,"BoejuZszNq","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/BoejuZszNq.png"
1229135236.813,20.046,15.263,1.53e-21,3977.720,2.250,7945.525879,0.000,0.000,0.992,"q9sX8Tz1ux","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/q9sX8Tz1ux.png"
1228983652.281,21.803,9.671,6.96e-22,27.699,1.000,19.496170,0.000,0.000,0.992,"2RrxcLmKAG","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/2RrxcLmKAG.png"
